"Dataset.Name","dataset.index","ID","Species","Treatment","Patients","Cells","Platform","Pri...Meta","PMID","major.cts","minor.cts","malignant.cts","endo.ist","folder_size","ISCVAM_simple","pipeline_interactively","pipeline_without_targets_HPC","pipeline_without_targets_Mac","Number_of_cells","gse_only","cancer.type","glioma.in.gaby","notes","running.time.job.array","JobID","outputFile.name","dataset.name","numb.of.cells","running.time","JobName","Partition","Account","AllocCPUS","State","ExitCode","Elapsed","MaxRSS","MaxVMSize","ReqMem","TotalCPU","file.size","date.modification","time.modification","file.name","State_h5","secondStage_JobID","secondStage_batch.job","secondStage_JobName","secondStage_AllocCPUS","secondStage_State","secondStage_Elapsed","secondStage_ReqMem","secondStage_ReqTRES","secondStage_TotalCPU","secondStage_date.process","secondStage_State_clean","secondStage_ReqMem_clean","secondStage_ReqTRES_clean","secondStage_CPU.time.used","secondStage_DiskSpaceUsed_clean","secondStage_PhysicalMemoryUsed_clean","secondStage_VirtualMemoryUsed_clean","secondStage_h5.name","h5_fileSize","h5_filename","secondStage_h5.completed"
"KICH_GSE159115",11,"T020115","Human","None",1,"2,850","10x Genomics","Primary","34099557","CD8Tex, Endothelial, Malignant, Mono/Macro, Pericytes","CD8Tex, Endothelial, Malignant, Mono/Macro, Pericytes","Immune cells, Malignant cells, Stromal cells",TRUE,74.8,NA,NA,"",NA,2850,"GSE159115","KICH",FALSE,"",NA,"7587776_11","array_7587776_11.out","KICH_GSE159115","2850","9.917473598","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:09:59",NA,NA,"24000M","09:59.7","42M","6-Aug","15:51","KICH_GSE159115.pipeline.h5","COMPLETED","7723937_11",7723937,"array",24,"COMPLETED","0:04:49","48000M","billing=2+","04:53.5",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:04:54 cpu=00:00:00"," fs/disk=0 fs/disk=2332"," mem=4059716K mem=0"," vmem=5081916K vmem=0","KICH_GSE159115.secondStage.h5","49M","KICH_GSE159115.secondStage.h5","yes"
"PAAD_GSE154763",12,"T020158","Human","None",6,"2,853","10x Genomics","Primary","33545035","DC, Mast, Mono/Macro","DC, Mast, Mono/Macro","Immune cells",FALSE,53.5,NA,NA,"",NA,2853,"GSE154763","PAAD",FALSE,"",NA,"7587776_12","array_7587776_12.out","PAAD_GSE154763","2853","9.755376752","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:09:49",NA,NA,"24000M","09:50.3","32M","6-Aug","15:52","PAAD_GSE154763.pipeline.h5","COMPLETED","7723941_12",7723941,"array",24,"COMPLETED","0:04:04","48000M","billing=2+","04:05.5",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:04:06 cpu=00:00:00"," fs/disk=0 fs/disk=2332"," mem=3719940K mem=0"," vmem=4238144K vmem=0","PAAD_GSE154763.secondStage.h5","41M","PAAD_GSE154763.secondStage.h5","yes"
"ALL_GSE153697",13,"T020082","Human","Immunotherapy",1,"2,904","10x Genomics","Relapsed","33558546","B, Malignant, Mono/Macro, NK, Plasma","B, Malignant, Mono/Macro, NK, Plasma","Immune cells, Malignant cells",FALSE,59.9,NA,NA,"",NA,2904,"GSE153697","ALL",FALSE,"",NA,"7587776_13","array_7587776_13.out","ALL_GSE153697","2904","11.04090128","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:11:06",NA,NA,"24000M","11:07.6","34M","6-Aug","15:51","ALL_GSE153697.pipeline.h5","COMPLETED","7723941_13",7723941,"array",24,"COMPLETED","0:04:04","48000M","billing=2+","04:08.3",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:04:08 cpu=00:00:00"," fs/disk=0 fs/disk=2332"," mem=3424504K mem=0"," vmem=3955232K vmem=0","ALL_GSE153697.secondStage.h5","41M","ALL_GSE153697.secondStage.h5","yes"
"LIHC_GSE146409",14,"T020122","Human","None",6,"2,916","MARS-seq","Primary, Metastatic","33332768","Endothelial, Epithelial, Fibroblasts, Hepatocytes, Malignant, Mono/Macro","Endothelial, Epithelial, Fibroblasts, Hepatocytes, Malignant, Mono/Macro","Immune cells, Malignant cells, Stromal cells",TRUE,31.9,NA,NA,"",NA,2916,"GSE146409","LIHC",FALSE,"",NA,"7587776_14","array_7587776_14.out","LIHC_GSE146409","2916","10.19765787","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:10:15",NA,NA,"24000M","10:15.5","33M","6-Aug","15:52","LIHC_GSE146409.pipeline.h5","COMPLETED","7723941_14",7723941,"array",24,"COMPLETED","0:04:10","48000M","billing=2+","04:10.7",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:04:10 cpu=00:00:00"," fs/disk=0 fs/disk=2332"," mem=2822772K mem=0"," vmem=3555964K vmem=0","LIHC_GSE146409.secondStage.h5","47M","LIHC_GSE146409.secondStage.h5","yes"
"NSCLC_GSE151537",15,"T020143","Human","Immunotherapy",10,"2,948","Smart-seq2","Primary","33691136","CD4Tconv, CD8T, CD8Tex, Tprolif, Treg","CD4Tconv, CD8T, CD8Tex, Tprolif, Treg","Immune cells, Stromal cells",FALSE,50.1,NA,NA,"",NA,2948,"GSE151537","NSCLC",FALSE,"",NA,"7587776_15","array_7587776_15.out","NSCLC_GSE151537","2948","10.52364633","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:10:36",NA,NA,"24000M","10:35.8","30M","6-Aug","15:52","NSCLC_GSE151537.pipeline.h5","COMPLETED","7723941_15",7723941,"array",24,"COMPLETED","0:02:29","48000M","billing=2+","02:24.2",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:02:24 cpu=00:00:00"," fs/disk=0 fs/disk=2332"," mem=3263960K mem=0"," vmem=3997248K vmem=0","NSCLC_GSE151537.secondStage.h5","27M","NSCLC_GSE151537.secondStage.h5","yes"
"LIHC_GSE146115",16,"T020121","Human","None",4,"3,134","C1","Primary","33531041","B, CD8T, Malignant, Mono/Macro, Tprolif","B, CD8T, Malignant, Mono/Macro, Tprolif","Immune cells, Malignant cells, Stromal cells",FALSE,84.5,NA,NA,"",NA,3134,"GSE146115","LIHC",FALSE,"",NA,"7587776_16","array_7587776_16.out","LIHC_GSE146115","3134","15.14398257","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:15:12",NA,NA,"24000M","15:13.8","54M","6-Aug","15:52","LIHC_GSE146115.pipeline.h5","COMPLETED","7723941_16",7723941,"array",24,"COMPLETED","0:04:33","48000M","billing=2+","04:37.2",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:04:37 cpu=00:00:00"," fs/disk=0 fs/disk=2332"," mem=3873416K mem=0"," vmem=4496344K vmem=0","LIHC_GSE146115.secondStage.h5","64M","LIHC_GSE146115.secondStage.h5","yes"
"NET_GSE140312",17,"T010054","Human","None",1,"3,158","10x Genomics","Primary, Metastatic","32054662","Endothelial, Fibroblasts, Malignant, Mono/Macro","Endothelial, Fibroblasts, M1, Malignant","Immune cells, Malignant cells, Stromal cells",TRUE,39,NA,NA,"",NA,3158,"GSE140312","NET",FALSE,"",NA,"7587776_17","array_7587776_17.out","NET_GSE140312","3158","14.14946394","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:14:13",NA,NA,"24000M","14:12.7","27M","6-Aug","15:52","NET_GSE140312.pipeline.h5","COMPLETED","7723941_17",7723941,"array",24,"COMPLETED","0:03:28","48000M","billing=2+","03:27.6",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:03:27 cpu=00:00:00"," fs/disk=0 fs/disk=2332"," mem=3008280K mem=0"," vmem=3502644K vmem=0","NET_GSE140312.secondStage.h5","31M","NET_GSE140312.secondStage.h5","yes"
"Glioma_GSE102130",18,"T010028","Human","None",6,"3,321","Smart-seq2","Primary","29674595","AC-like Malignant, Mono/Macro, OC-like Malignant, Oligodendrocyte, OPC-like Malignant","AC-like Malignant, M1, OC-like Malignant, Oligodendrocyte, OPC-like Malignant","Immune cells, Malignant cells, Others",FALSE,182.6,NA,NA,"22.08506776",NA,3321,"GSE102130","Glioma",TRUE,"",NA,"7587776_18","array_7587776_18.out","Glioma_GSE102130","4058","not_complete","array","ychen-sha+","ychen-rw",12,"FAILED","1:00","0:21:46",NA,NA,"24000M","21:50.6","120M","6-Aug","15:51","Glioma_GSE102130.pipeline.h5","COMPLETED","7723941_18",7723941,"array",24,"COMPLETED","0:08:04","48000M","billing=2+","08:19.0",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:08:18 cpu=00:00:00"," fs/disk=1012295669 fs/disk=2332"," mem=10223020K mem=0"," vmem=11338228K vmem=0","Glioma_GSE102130.secondStage.h5","137M","Glioma_GSE102130.secondStage.h5","yes"
"Glioma_GSE84465",19,"T010038","Human","None",4,"3,533","Smart-seq2","Primary","29091775","AC-like Malignant, Astrocyte, Malignant, Mono/Macro, Neuron, Oligodendrocyte, OPC, Vascular","AC-like Malignant, Astrocyte, M1, Malignant, Monocyte, Neuron, Oligodendrocyte, OPC, Vascular","Immune cells, Malignant cells, Others, Stromal cells",FALSE,80.6,NA,NA,"16.39015712","10.7148280183474 mins",3533,"GSE84465","Glioma",TRUE,"",NA,"7587776_19","array_7587776_19.out","Glioma_GSE84465","3533","not_complete","array","ychen-sha+","ychen-rw",12,"FAILED","1:00","0:16:01",NA,NA,"24000M","16:05.3","72M","6-Aug","15:51","Glioma_GSE84465.pipeline.h5","COMPLETED","7723941_19",7723941,"array",24,"COMPLETED","0:05:17","48000M","billing=2+","05:20.9",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:05:20 cpu=00:00:00"," fs/disk=827131996 fs/disk=2332"," mem=6619760K mem=0"," vmem=7352132K vmem=0","Glioma_GSE84465.secondStage.h5","84M","Glioma_GSE84465.secondStage.h5","yes"
"SKCM_GSE134388_aPD1",20,"T020178","Human","Immunotherapy",1,"3,633","10x Genomics","Primary","32747553","CD8T, DC, Endothelial, Fibroblasts, Keratinocytes, Mast, Mono/Macro, Myofibroblasts, SMC","CD8Tcm, Endothelial, Fibroblasts, Keratinocytes, M1, M2, Mast, Mono/Macro, Myofibroblasts, SMC","Immune cells, Stromal cells",TRUE,40.7,NA,"7.809 mins + ","",NA,3633,"GSE134388","SKCM",FALSE,"",NA,"7587776_20","array_7587776_20.out","SKCM_GSE134388_aPD1","3632","12.92010519","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:12:58",NA,NA,"24000M","12:58.3","34M","6-Aug","15:52","SKCM_GSE134388_aPD1.pipeline.h5","COMPLETED","7723941_20",7723941,"array",24,"COMPLETED","0:04:27","48000M","billing=2+","04:25.8",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:04:25 cpu=00:00:00"," fs/disk=0 fs/disk=2332"," mem=10192K mem=0"," vmem=594324K vmem=0","SKCM_GSE134388_aPD1.secondStage.h5","47M","SKCM_GSE134388_aPD1.secondStage.h5","yes"
"NSCLC_GSE153935",21,"T020144","Human","None",12,"3,658","10x Genomics","Primary","None","Alveolar, CD8T, CD8Tex, Endothelial, Epithelial, Fibroblasts, Mast, Mono/Macro, Myofibroblasts, Plasma, Tprolif","Alveolar, CD8Tcm, CD8Tem, CD8Tex, Endothelial, Epithelial, Fibroblasts, Mast, Monocyte, Myofibroblasts, Plasma, Tprolif","Immune cells, Others, Stromal cells",TRUE,62.7,NA,NA,"",NA,3658,"GSE153935","NSCLC",FALSE,"",NA,"7587837_21","array_7587837_21.out","NSCLC_GSE153935","5859","18.71949672","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:18:47",NA,NA,"24000M","18:46.3","42M","6-Aug","15:52","NSCLC_GSE153935.pipeline.h5","COMPLETED","7723962_21",7723962,"array",24,"COMPLETED","0:05:53","48000M","billing=2+","05:57.9",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:05:57 cpu=00:00:00"," fs/disk=949382077 fs/disk=2332"," mem=7370308K mem=0"," vmem=8213096K vmem=0","NSCLC_GSE153935.secondStage.h5","63M","NSCLC_GSE153935.secondStage.h5","yes"
"LIHC_GSE125449_aPDL1aCTLA4",22,"T010045","Human","Immunotherapy",9,"3,834","10x Genomics","Primary","31588021","B, CD8Tex, Endothelial, Fibroblasts, Hepatic progenitor, Malignant, Mono/Macro, Plasma","B, CD8Tex, Endothelial, Fibroblasts, Hepatic progenitor, M1, Malignant, Plasma","Immune cells, Malignant cells, Stromal cells",TRUE,65.4,NA,NA,"",NA,3834,"GSE125449","LIHC",FALSE,"",NA,"7587837_22","array_7587837_22.out","LIHC_GSE125449_aPDL1aCTLA4","3835","16.31778624","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:16:23",NA,NA,"24000M","16:26.2","55M","6-Aug","15:52","LIHC_GSE125449_aPDL1aCTLA4.pipeline.h5","COMPLETED","7723962_22",7723962,"array",24,"COMPLETED","0:05:35","48000M","billing=2+","05:41.7",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:05:42 cpu=00:00:00"," fs/disk=906477516 fs/disk=2332"," mem=6787600K mem=0"," vmem=7450540K vmem=0","LIHC_GSE125449_aPDL1aCTLA4.secondStage.h5","75M","LIHC_GSE125449_aPDL1aCTLA4.secondStage.h5","yes"
"OV_GSE154763",23,"T020154","Human","None",2,"3,888","10x Genomics","Primary","33545035","DC, Mono/Macro","DC, Mono/Macro","Immune cells",FALSE,78.6,NA,NA,"",NA,3888,"GSE154763","OV",FALSE,"",NA,"7587837_23","array_7587837_23.out","OV_GSE154763","3888","11.6794128","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:11:45",NA,NA,"24000M","11:47.2","34M","6-Aug","15:52","OV_GSE154763.pipeline.h5","COMPLETED","7723962_23",7723962,"array",24,"COMPLETED","0:04:49","48000M","billing=2+","04:53.5",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:04:54 cpu=00:00:00"," fs/disk=0 fs/disk=2332"," mem=4746968K mem=0"," vmem=5416432K vmem=0","OV_GSE154763.secondStage.h5","40M","OV_GSE154763.secondStage.h5","yes"
"MF_GSE173820",24,"T020137","Human","None",1,"3,926","10x Genomics","Primary","34018188","CD4Tconv, CD8T, DC, Endothelial, Epithelial, Fibroblasts, Malignant, Mono/Macro, Myofibroblasts","CD4Tconv, CD8T, DC, Endothelial, Epithelial, Fibroblasts, Malignant, Mono/Macro, Myofibroblasts","Immune cells, Malignant cells, Stromal cells",TRUE,59.4,NA,NA,"",NA,3926,"GSE173820","MF",FALSE,"",NA,"7587837_24","array_7587837_24.out","MF_GSE173820","5270","17.15613796","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:17:13",NA,NA,"24000M","17:12.5","35M","6-Aug","15:52","MF_GSE173820.pipeline.h5","COMPLETED","7723962_24",7723962,"array",24,"COMPLETED","0:05:09","48000M","billing=2+","05:11.7",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:05:12 cpu=00:00:00"," fs/disk=924286273 fs/disk=2332"," mem=7953272K mem=0"," vmem=8757220K vmem=0","MF_GSE173820.secondStage.h5","48M","MF_GSE173820.secondStage.h5","yes"
"AEL_GSE142213",25,"T010001","Human","None",2,"3,994","10x Genomics","Primary","32330454","Malignant, Mono/Macro, NK, Plasma","M2, Malignant, NK, Plasma","Immune cells, Malignant cells",FALSE,69.7,NA,NA,"",NA,3994,"GSE142213","AEL",FALSE,"",NA,"7587837_25","array_7587837_25.out","AEL_GSE142213","3994","10.15959345","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:10:13",NA,NA,"24000M","10:14.9","41M","6-Aug","15:51","AEL_GSE142213.pipeline.h5","COMPLETED","7723962_25",7723962,"array",24,"COMPLETED","0:04:51","48000M","billing=2+","04:56.8",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:04:56 cpu=00:00:00"," fs/disk=0 fs/disk=2332"," mem=3027780K mem=0"," vmem=3705300K vmem=0","AEL_GSE142213.secondStage.h5","51M","AEL_GSE142213.secondStage.h5","yes"
