,Dataset.Name,X,dataset.index,ID,Species,Treatment,Patients,Cells,Platform,Pri...Meta,PMID,major.cts,minor.cts,endo.ist,folder_size,ISCVAM_simple,pipeline_interactively,pipeline_without_targets_HPC,pipeline_without_targets_Mac,Number_of_cells,gse_only,cancer.type,glioma.in.gaby,notes,running.time.job.array,JobID,outputFile.name,dataset.name,numb.of.cells,running.time,JobName,Partition,Account,AllocCPUS,State,ExitCode,Elapsed,MaxRSS,MaxVMSize,ReqMem,TotalCPU,file.size,date.modification,time.modification,file.name,State_h5,in_df_name,name,path
22,BRCA_GSE161529,191,189,T020091,Human,,52.0,"332,168",10x Genomics,Primary,33950524.0,"B, CD4Tconv, CD8T, Endothelial, Epithelial, Fibroblasts, Malignant, Mono/Macro, NK, Pericytes, Plasma","B, CD4Tconv, CD8T, Endothelial, Epithelial, Fibroblasts, Malignant, Mono/Macro, NK, Pericytes, Plasma",True,4775.3,,,,,332168,GSE161529,BRCA,False,,,,,,,,,,,,,,,,,,,8.7G,16-Aug,11:44,BRCA_GSE161529.pipeline.h5,COMPLETED,True,BRCA_GSE161529.pipeline,/uufs/chpc.utah.edu/common/home/ychen-group1/ISCVAM_complied_h5/BRCA_GSE161529.pipeline.h5
23,BRCA_GSE176078,178,176,T010014,Human,,26.0,"89,471",10x Genomics,Primary,34493872.0,"B, CD4Tconv, CD8Tex, DC, Endothelial, Fibroblasts, Malignant, Mono/Macro, Plasma, SMC, Tprolif","B, CD4Tn, CD8Tex, Endothelial, Fibroblasts, M1, Malignant, Monocyte, pDC, Plasma, SMC, Tprolif",True,1421.4,,,,,89471,GSE176078,BRCA,False,,,7599447_176,array_7599447_176.out,BRCA_GSE176078,89471,not_complete,array,ychen-sha+,ychen-rw,12.0,FAILED,9:00,1:54:47,,,24000M,1:54:03,542M,14-Aug,18:07,BRCA_GSE176078.pipeline.h5,COMPLETED,True,BRCA_GSE176078.pipeline,/uufs/chpc.utah.edu/common/home/ychen-group1/ISCVAM_complied_h5/BRCA_GSE176078.pipeline.h5
24,BRCA_SRP114962,10,10,T010015,Human,Chemotherapy,8.0,"2,472",SNRS,Primary,29681456.0,"CD8Tex, Malignant","CD8Tex, Malignant",False,34.1,,,,,2472,SRP114962,BRCA,False,,,7587715_10,array_7587715_10.out,BRCA_SRP114962,2472,12.1015628139178,array,ychen-sha+,ychen-rw,12.0,COMPLETED,0:00,0:12:09,,,24000M,12:08.8,28M,6-Aug,15:51,BRCA_SRP114962.pipeline.h5,COMPLETED,True,BRCA_SRP114962.pipeline,/uufs/chpc.utah.edu/common/home/ychen-group1/ISCVAM_complied_h5/iscvam_complied_h5/BRCA_SRP114962.pipeline.h5
25,CESC_GSE168652,121,121,T020092,Human,,1.0,"22,998",10x Genomics,Primary,33996252.0,"CD8T, Endometrial stromal cells, Endothelial, Fibroblasts, Malignant, Mono/Macro, SMC","CD8T, Endometrial stromal cells, Endothelial, Fibroblasts, Malignant, Mono/Macro, SMC",True,427.0,,,,,22998,GSE168652,CESC,False,,,7594515_121,array_7594515_121.out,CESC_GSE168652,22998,not_complete,array,ychen-sha+,ychen-rw,12.0,FAILED,9:00,0:55:36,,,24000M,55:33.4,145M,16-Aug,15:29,CESC_GSE168652.pipeline.h5,COMPLETED,True,CESC_GSE168652.pipeline,/uufs/chpc.utah.edu/common/home/ychen-group1/ISCVAM_complied_h5/CESC_GSE168652.pipeline.h5
26,CHOL_GSE125449_aPD1aPDL1aCTLA4,44,44,T010016,Human,Immunotherapy,10.0,"5,761",10x Genomics,Primary,31588021.0,"B, CD4Tconv, CD8T, CD8Tex, Endothelial, Fibroblasts, Hepatic progenitor, Malignant, Mono/Macro, Plasma, Tprolif","B, CD4Tn, CD8Tem, CD8Tex, Endothelial, Fibroblasts, Hepatic progenitor, Malignant, Monocyte, Plasma, Tprolif",True,73.5,,,,,5761,GSE125449,CHOL,False,,,7588117_44,array_7588117_44.out,CHOL_GSE125449_aPD1aPDL1aCTLA4,5762,21.4370071093241,array,ychen-sha+,ychen-rw,12.0,COMPLETED,0:00,0:21:29,,,24000M,21:30.9,50M,6-Aug,15:51,CHOL_GSE125449_aPD1aPDL1aCTLA4.pipeline.h5,COMPLETED,True,CHOL_GSE125449_aPD1aPDL1aCTLA4.pipeline,/uufs/chpc.utah.edu/common/home/ychen-group1/ISCVAM_complied_h5/iscvam_complied_h5/CHOL_GSE125449_aPD1aPDL1aCTLA4.pipeline.h5
27,CHOL_GSE138709,143,143,T020093,Human,,5.0,"33,990",10x Genomics,Primary,32505533.0,"CD8T, CD8Tex, Cholangiocytes, DC, Endothelial, Fibroblasts, Hepatocyte, Malignant, Mono/Macro, NK, Plasma, Tprolif","CD8Tcm, CD8Tex, Cholangiocytes, Endothelial, Fibroblasts, Hepatocyte, M1, Malignant, Monocyte, NK, pDC, Plasma, Tprolif",True,615.5,,,,,33990,GSE138709,CHOL,False,,,7594530_143,array_7594530_143.out,CHOL_GSE138709,33990,2.040821352005,array,redwood-s+,owner-gue+,12.0,COMPLETED,0:00,2:02:34,,,125G,2:03:54,228M,6-Aug,15:51,CHOL_GSE138709.pipeline.h5,COMPLETED,True,CHOL_GSE138709.pipeline,/uufs/chpc.utah.edu/common/home/ychen-group1/ISCVAM_complied_h5/iscvam_complied_h5/CHOL_GSE138709.pipeline.h5
28,CHOL_GSE142784,79,79,T020094,Human,,2.0,"10,535",10x Genomics,Primary,32505533.0,"CD8T, Cholangiocyte, Endothelial, Fibroblasts, Hepatocytes, Malignant, Mono/Macro, Myofibroblasts","CD8Tex, Cholangiocyte, Endothelial, Fibroblasts, Hepatocytes, M1, Malignant, Monocyte, Myofibroblasts",True,199.9,,,,,10535,GSE142784,CHOL,False,,,7589699_79,array_7589699_79.out,CHOL_GSE142784,10526,30.7071941097577,array,ychen-sha+,ychen-rw,12.0,COMPLETED,0:00,0:30:47,,,24000M,30:53.3,84M,6-Aug,15:51,CHOL_GSE142784.pipeline.h5,COMPLETED,True,CHOL_GSE142784.pipeline,/uufs/chpc.utah.edu/common/home/ychen-group1/ISCVAM_complied_h5/iscvam_complied_h5/CHOL_GSE142784.pipeline.h5
29,CLL_GSE111014,136,136,T010017,Human,Targeted therapy,4.0,"30,106",10x Genomics,Primary,31996669.0,"B, CD4Tconv, CD8T, DC, Mono/Macro, Tprolif","B, CD4Tn, CD8Tcm, CD8Teff, CD8Tem, M1, Monocyte, pDC, Tprolif",False,221.4,,,,,30106,GSE111014,CLL,False,,,7594525_136,array_7594525_136.out,CLL_GSE111014,30106,41.0791091362635,array,ychen-sha+,ychen-rw,12.0,COMPLETED,0:00,0:41:09,,,24000M,41:19.4,82M,6-Aug,15:51,CLL_GSE111014.pipeline.h5,COMPLETED,True,CLL_GSE111014.pipeline,/uufs/chpc.utah.edu/common/home/ychen-group1/ISCVAM_complied_h5/iscvam_complied_h5/CLL_GSE111014.pipeline.h5
30,CLL_GSE125881,169,167,T010018,Human,Immunotherapy,4.0,"60,528",10x Genomics,Primary,31924795.0,"CD8T, CD8Tex, Tprolif","CD8T, CD8Tcm, CD8Teff, CD8Tem, CD8Tex, CD8Tn, Tprolif",False,955.2,,,,,60528,GSE125881,CLL,False,,,7599437_167,array_7599437_167.out,CLL_GSE125881,60528,not_complete,array,ychen-sha+,ychen-rw,12.0,OUT_OF_ME+,0.086805556,1:01:28,,,24000M,1:01:22,315M,9-Aug,14:55,CLL_GSE125881.pipeline.h5,COMPLETED,True,CLL_GSE125881.pipeline,/uufs/chpc.utah.edu/common/home/ychen-group1/ISCVAM_complied_h5/iscvam_complied_h5/CLL_GSE125881.pipeline.h5
31,CLL_GSE132065,161,159,T020095,Human,,3.0,"47,695",10x Genomics,Primary,32393363.0,"CD4Tconv, CD8T, Malignant, Mono/Macro, NK","CD4Tconv, CD8T, Malignant, Mono/Macro, NK",False,347.1,,,,,47695,GSE132065,CLL,False,,,7599432_159,array_7599432_159.out,CLL_GSE132065,38637,not_complete,array,ychen-sha+,ychen-rw,12.0,FAILED,9:00,0:54:03,,,24000M,54:00.1,136M,9-Aug,14:55,CLL_GSE132065.pipeline.h5,COMPLETED,True,CLL_GSE132065.pipeline,/uufs/chpc.utah.edu/common/home/ychen-group1/ISCVAM_complied_h5/iscvam_complied_h5/CLL_GSE132065.pipeline.h5
32,CLL_GSE142744,102,102,T020096,Human,,2.0,"13,552",10x Genomics,Primary,,"B, CD4Tconv, CD8T, CD8Tex, Mast, Mono/Macro, NK","B, CD4Tn, CD8Teff, CD8Tex, M1, Mast, Monocyte, NK",False,135.4,,,,,13552,GSE142744,CLL,False,,,7592404_102,array_7592404_102.out,CLL_GSE142744,13550,23.8842948118846,array,ychen-sha+,ychen-rw,12.0,COMPLETED,0:00,0:23:57,,,24000M,24:06.3,54M,6-Aug,15:51,CLL_GSE142744.pipeline.h5,COMPLETED,True,CLL_GSE142744.pipeline,/uufs/chpc.utah.edu/common/home/ychen-group1/ISCVAM_complied_h5/iscvam_complied_h5/CLL_GSE142744.pipeline.h5
33,CLL_GSE152469,100,100,T020019,Human,Targeted therapy,1.0,"13,017",CITE-seq,Relapsed,33298182.0,"CD4Tconv, CD8T, Malignant, Mono/Macro, NK, Tprolif","CD4Tconv, CD8T, Malignant, Mono/Macro, NK, Tprolif",False,97.2,,,,,13017,GSE152469,CLL,False,,,7589715_100,array_7589715_100.out,CLL_GSE152469,13071,20.3915806174278,array,ychen-sha+,ychen-rw,12.0,COMPLETED,0:00,0:20:28,,,24000M,20:31.3,39M,6-Aug,15:51,CLL_GSE152469.pipeline.h5,COMPLETED,True,CLL_GSE152469.pipeline,/uufs/chpc.utah.edu/common/home/ychen-group1/ISCVAM_complied_h5/iscvam_complied_h5/CLL_GSE152469.pipeline.h5
34,CLL_GSE159417,35,35,T020097,Human,,2.0,"4,763",10x Genomics,Primary,34362918.0,"B, CD4Tconv, CD8T, Malignant, Mono/Macro, Progenitor","B, CD4Tconv, CD8T, Malignant, Mono/Macro, Progenitor",False,45.7,,,,,4763,GSE159417,CLL,False,,,7588105_35,array_7588105_35.out,CLL_GSE159417,4763,13.7926081776619,array,ychen-sha+,ychen-rw,12.0,COMPLETED,0:00,0:13:51,,,24000M,13:50.6,30M,6-Aug,15:51,CLL_GSE159417.pipeline.h5,COMPLETED,True,CLL_GSE159417.pipeline,/uufs/chpc.utah.edu/common/home/ychen-group1/ISCVAM_complied_h5/iscvam_complied_h5/CLL_GSE159417.pipeline.h5
