"Dataset.Name","X","dataset.index","ID","Species","Treatment","Patients","Cells","Platform","Pri...Meta","PMID","major.cts","minor.cts","endo.ist","folder_size","ISCVAM_simple","pipeline_interactively","pipeline_without_targets_HPC","pipeline_without_targets_Mac","Number_of_cells","gse_only","cancer.type","glioma.in.gaby","notes","running.time.job.array","JobID","outputFile.name","dataset.name","numb.of.cells","running.time","JobName","Partition","Account","AllocCPUS","State","ExitCode","Elapsed","MaxRSS","MaxVMSize","ReqMem","TotalCPU","file.size","date.modification","time.modification","file.name","State_h5"
"BLCA_GSE130001",27,27,"T010006","Human","None",2,"4,129","10x Genomics","Primary","32111252","Endothelial, Epithelial, Fibroblasts, Myofibroblasts","Endothelial, Epithelial, Fibroblasts, Myofibroblasts",TRUE,94,NA,NA,"",NA,4129,"GSE130001","BLCA",FALSE,"",NA,"7587837_27","array_7587837_27.out","BLCA_GSE130001","4129","15.5933609763781","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:15:40",NA,NA,"24000M","15:43.0","47M","6-Aug","15:51","BLCA_GSE130001.pipeline.h5","COMPLETED"
"BLCA_GSE145281_aPDL1",105,105,"T010007","Human","Immunotherapy",10,"14,462","10x Genomics","Metastatic","32405063","B, CD4Tconv, CD8T, Mono/Macro, NK","B, CD4Tn, CD8Tcm, CD8Teff, CD8Tn, M1, M2, Monocyte, NK",FALSE,116,NA,NA,"",NA,14462,"GSE145281","BLCA",FALSE,"",NA,"7592404_105","array_7592404_105.out","BLCA_GSE145281_aPDL1","14474","24.9965497334798","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:25:04",NA,NA,"24000M","25:09.5","49M","6-Aug","15:51","BLCA_GSE145281_aPDL1.pipeline.h5","COMPLETED"
"BLCA_GSE149652",108,108,"T020087","Human","Immunotherapy/Chemotherapy",7,"15,538","10x Genomics","Primary","32497499","CD4Tconv, CD8T, CD8Tex, NK, Tprolif, Treg","CD4Tconv, CD8T, CD8Tex, NK, Tprolif, Treg",FALSE,99.6,NA,NA,"",NA,15538,"GSE149652","BLCA",FALSE,"",NA,"7592404_108","array_7592404_108.out","BLCA_GSE149652","15538","32.256417731444","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:32:20",NA,NA,"24000M","32:24.6","38M","6-Aug","15:51","BLCA_GSE149652.pipeline.h5","COMPLETED"
"BRCA_EMTAB8107",140,140,"T020088","Human","None",14,"33,043","10x Genomics","Primary","32561858","B, CD8T, CD8Tex, Endothelial, Fibroblasts, Malignant, Mast, Mono/Macro, Myofibroblasts, Plasma, Tprolif","B, CD8Tcm, CD8Tex, Endothelial, Fibroblasts, M1, Malignant, Mast, Myofibroblasts, Plasma, Tprolif",TRUE,565.5,NA,NA,"",NA,33043,"EMTAB8107","BRCA",FALSE,"",NA,"7594525_140","array_7594525_140.out","BRCA_EMTAB8107","33043","not_complete","array","ychen-sha+","ychen-rw",12,"FAILED","9:00","1:17:22",NA,NA,"24000M","1:17:22","213M","16-Aug","15:29","BRCA_EMTAB8107.pipeline.h5","COMPLETED"
"BRCA_GSE110686",47,47,"T010008","Human","None",2,"6,035","10x Genomics","Primary, Metastatic","29942092","CD4Tconv, CD8T, CD8Tex, Mono/Macro, Tprolif, Treg","CD4Tn, CD8Tcm, CD8Teff, CD8Tem, CD8Tex, M1, Tfh, Th17, Th2, Tprolif, Treg",FALSE,59.3,NA,NA,"",NA,6035,"GSE110686","BRCA",FALSE,"",NA,"7588117_47","array_7588117_47.out","BRCA_GSE110686","6035","16.2450054804484","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:16:18",NA,NA,"24000M","16:19.8","24M","6-Aug","15:51","BRCA_GSE110686.pipeline.h5","COMPLETED"
"BRCA_GSE114727_10X",133,133,"T010009","Human","None",3,"28,678","10x Genomics","Primary","29961579","CD4Tconv, CD8T, CD8Tex, Tprolif, Treg","CD4Tn, CD8Tcm, CD8Tem, CD8Tex, CD8Tn, Others, Tfh, Th1, Th17, Tprolif, Treg",FALSE,425.4,NA,NA,"",NA,28678,"GSE114727","BRCA",FALSE,"",NA,"7594525_133","array_7594525_133.out","BRCA_GSE114727_10X","28678","not_complete","array","ychen-sha+","ychen-rw",12,"FAILED","9:00","1:02:29",NA,NA,"24000M","1:02:30","146M","16-Aug","15:29","BRCA_GSE114727_10X.pipeline.h5","COMPLETED"
"BRCA_GSE114727_inDrop",117,117,"T010010","Human","None",8,"19,676","inDrop","Primary","29961579","B, CD4Tconv, CD8T, DC, Endothelial, Fibroblasts, Mast, Mono/Macro, Myofibroblasts, Neutrophils, NK","B, CD4Tn, CD8Tcm, CD8Tem, cDC2, Endothelial, Fibroblasts, M1, M2, Mast, Monocyte, Myofibroblasts, Neutrophils, NK, pDC",TRUE,161.8,NA,NA,"",NA,19676,"GSE114727","BRCA",FALSE,"",NA,"7592414_117","array_7592414_117.out","BRCA_GSE114727_inDrop","19676","41.4404360493024","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:41:31",NA,NA,"24000M","41:39.9","82M","6-Aug","15:51","BRCA_GSE114727_inDrop.pipeline.h5","COMPLETED"
"BRCA_GSE136206_mouse_aPD1aCTLA4",130,130,"T010011","Mouse","Immunotherapy",NA,"27,532","10x Genomics","Primary","31730857","0","0",FALSE,0,NA,NA,"",NA,27532,"GSE136206","BRCA",FALSE,"",NA,"7594515_130","array_7594515_130.out","BRCA_GSE136206_mouse_aPD1aCTLA4","27532","not_complete","array","ychen-sha+","ychen-rw",12,"FAILED","9:00","0:49:59",NA,NA,"24000M","49:55.6","197M","16-Aug","15:29","BRCA_GSE136206_mouse_aPD1aCTLA4.pipeline.h5","COMPLETED"
"BRCA_GSE138536",6,6,"T010012","Human","None",8,"1,902","Smart-seq2","Primary","31974247","Epithelial, Fibroblasts, Mono/Macro, Myofibroblasts","Epithelial, Fibroblasts, Monocyte, Myofibroblasts",FALSE,54.5,NA,NA,"",NA,1902,"GSE138536","BRCA",FALSE,"",NA,"7587715_6","array_7587715_6.out","BRCA_GSE138536","1902","10.910579307874","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:10:58",NA,NA,"24000M","10:56.9","38M","6-Aug","15:51","BRCA_GSE138536.pipeline.h5","COMPLETED"
"BRCA_GSE143423",29,29,"T010013","Human","None",2,"4,375","10x Genomics","Metastatic","None","Malignant, Mono/Macro, Oligodendrocyte","M1, Malignant, Oligodendrocyte",FALSE,133.3,NA,NA,"",NA,4375,"GSE143423","BRCA",FALSE,"",NA,"7587837_29","array_7587837_29.out","BRCA_GSE143423","4375","15.6979150176048","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:15:44",NA,NA,"24000M","15:49.9","56M","6-Aug","15:51","BRCA_GSE143423.pipeline.h5","COMPLETED"
"BRCA_GSE148673",76,76,"T020089","Human","None",6,"10,359","10x Genomics","Primary","33462507","B, CD4Tconv, CD8T, Endothelial, Epithelial, Fibroblasts, Malignant, Mono/Macro, Tprolif","B, CD4Tconv, CD8T, Endothelial, Epithelial, Fibroblasts, Malignant, Mono/Macro, Tprolif",TRUE,324.8,NA,NA,"",NA,10359,"GSE148673","BRCA",FALSE,"",NA,"7589699_76","array_7589699_76.out","BRCA_GSE148673","10359","33.4133712132772","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:33:29",NA,NA,"24000M","33:42.8","134M","6-Aug","15:51","BRCA_GSE148673.pipeline.h5","COMPLETED"
"BRCA_GSE150660",80,80,"T020090","Human","None",3,"10,605","10x Genomics","Metastatic","32675368","B, CD4Tconv, CD8T, DC, Malignant, Mono/Macro, NK","B, CD4Tn, CD8Tcm, cDC2, M1, Malignant, Monocyte, NK",FALSE,148.6,NA,NA,"",NA,10605,"GSE150660","BRCA",FALSE,"",NA,"7589699_80","array_7589699_80.out","BRCA_GSE150660","10605","27.781413213412","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:27:51",NA,NA,"24000M","27:58.8","63M","6-Aug","15:51","BRCA_GSE150660.pipeline.h5","COMPLETED"
"BRCA_GSE161529",191,189,"T020091","Human","None",52,"332,168","10x Genomics","Primary","33950524","B, CD4Tconv, CD8T, Endothelial, Epithelial, Fibroblasts, Malignant, Mono/Macro, NK, Pericytes, Plasma","B, CD4Tconv, CD8T, Endothelial, Epithelial, Fibroblasts, Malignant, Mono/Macro, NK, Pericytes, Plasma",TRUE,4775.3,NA,NA,"",NA,332168,"GSE161529","BRCA",FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.7G","16-Aug","11:44","BRCA_GSE161529.pipeline.h5","COMPLETED"
"BRCA_GSE176078",178,176,"T010014","Human","None",26,"89,471","10x Genomics","Primary","34493872","B, CD4Tconv, CD8Tex, DC, Endothelial, Fibroblasts, Malignant, Mono/Macro, Plasma, SMC, Tprolif","B, CD4Tn, CD8Tex, Endothelial, Fibroblasts, M1, Malignant, Monocyte, pDC, Plasma, SMC, Tprolif",TRUE,1421.4,NA,NA,"",NA,89471,"GSE176078","BRCA",FALSE,"",NA,"7599447_176","array_7599447_176.out","BRCA_GSE176078","89471","not_complete","array","ychen-sha+","ychen-rw",12,"FAILED","9:00","1:54:47",NA,NA,"24000M","1:54:03","542M","14-Aug","18:07","BRCA_GSE176078.pipeline.h5","COMPLETED"
"BRCA_SRP114962",10,10,"T010015","Human","Chemotherapy",8,"2,472","SNRS","Primary","29681456","CD8Tex, Malignant","CD8Tex, Malignant",FALSE,34.1,NA,NA,"",NA,2472,"SRP114962","BRCA",FALSE,"",NA,"7587715_10","array_7587715_10.out","BRCA_SRP114962","2472","12.1015628139178","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:12:09",NA,NA,"24000M","12:08.8","28M","6-Aug","15:51","BRCA_SRP114962.pipeline.h5","COMPLETED"
"CESC_GSE168652",121,121,"T020092","Human","None",1,"22,998","10x Genomics","Primary","33996252","CD8T, Endometrial stromal cells, Endothelial, Fibroblasts, Malignant, Mono/Macro, SMC","CD8T, Endometrial stromal cells, Endothelial, Fibroblasts, Malignant, Mono/Macro, SMC",TRUE,427,NA,NA,"",NA,22998,"GSE168652","CESC",FALSE,"",NA,"7594515_121","array_7594515_121.out","CESC_GSE168652","22998","not_complete","array","ychen-sha+","ychen-rw",12,"FAILED","9:00","0:55:36",NA,NA,"24000M","55:33.4","145M","16-Aug","15:29","CESC_GSE168652.pipeline.h5","COMPLETED"
"CHOL_GSE125449_aPD1aPDL1aCTLA4",44,44,"T010016","Human","Immunotherapy",10,"5,761","10x Genomics","Primary","31588021","B, CD4Tconv, CD8T, CD8Tex, Endothelial, Fibroblasts, Hepatic progenitor, Malignant, Mono/Macro, Plasma, Tprolif","B, CD4Tn, CD8Tem, CD8Tex, Endothelial, Fibroblasts, Hepatic progenitor, Malignant, Monocyte, Plasma, Tprolif",TRUE,73.5,NA,NA,"",NA,5761,"GSE125449","CHOL",FALSE,"",NA,"7588117_44","array_7588117_44.out","CHOL_GSE125449_aPD1aPDL1aCTLA4","5762","21.4370071093241","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:21:29",NA,NA,"24000M","21:30.9","50M","6-Aug","15:51","CHOL_GSE125449_aPD1aPDL1aCTLA4.pipeline.h5","COMPLETED"
"CHOL_GSE138709",143,143,"T020093","Human","None",5,"33,990","10x Genomics","Primary","32505533","CD8T, CD8Tex, Cholangiocytes, DC, Endothelial, Fibroblasts, Hepatocyte, Malignant, Mono/Macro, NK, Plasma, Tprolif","CD8Tcm, CD8Tex, Cholangiocytes, Endothelial, Fibroblasts, Hepatocyte, M1, Malignant, Monocyte, NK, pDC, Plasma, Tprolif",TRUE,615.5,NA,NA,"",NA,33990,"GSE138709","CHOL",FALSE,"",NA,"7594530_143","array_7594530_143.out","CHOL_GSE138709","33990","2.040821352005","array","redwood-s+","owner-gue+",12,"COMPLETED","0:00","2:02:34",NA,NA,"125G","2:03:54","228M","6-Aug","15:51","CHOL_GSE138709.pipeline.h5","COMPLETED"
"CHOL_GSE142784",79,79,"T020094","Human","None",2,"10,535","10x Genomics","Primary","32505533","CD8T, Cholangiocyte, Endothelial, Fibroblasts, Hepatocytes, Malignant, Mono/Macro, Myofibroblasts","CD8Tex, Cholangiocyte, Endothelial, Fibroblasts, Hepatocytes, M1, Malignant, Monocyte, Myofibroblasts",TRUE,199.9,NA,NA,"",NA,10535,"GSE142784","CHOL",FALSE,"",NA,"7589699_79","array_7589699_79.out","CHOL_GSE142784","10526","30.7071941097577","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:30:47",NA,NA,"24000M","30:53.3","84M","6-Aug","15:51","CHOL_GSE142784.pipeline.h5","COMPLETED"
"CLL_GSE111014",136,136,"T010017","Human","Targeted therapy",4,"30,106","10x Genomics","Primary","31996669","B, CD4Tconv, CD8T, DC, Mono/Macro, Tprolif","B, CD4Tn, CD8Tcm, CD8Teff, CD8Tem, M1, Monocyte, pDC, Tprolif",FALSE,221.4,NA,NA,"",NA,30106,"GSE111014","CLL",FALSE,"",NA,"7594525_136","array_7594525_136.out","CLL_GSE111014","30106","41.0791091362635","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:41:09",NA,NA,"24000M","41:19.4","82M","6-Aug","15:51","CLL_GSE111014.pipeline.h5","COMPLETED"
"CLL_GSE125881",169,167,"T010018","Human","Immunotherapy",4,"60,528","10x Genomics","Primary","31924795","CD8T, CD8Tex, Tprolif","CD8T, CD8Tcm, CD8Teff, CD8Tem, CD8Tex, CD8Tn, Tprolif",FALSE,955.2,NA,NA,"",NA,60528,"GSE125881","CLL",FALSE,"",NA,"7599437_167","array_7599437_167.out","CLL_GSE125881","60528","not_complete","array","ychen-sha+","ychen-rw",12,"OUT_OF_ME+","0.086805556","1:01:28",NA,NA,"24000M","1:01:22","315M","9-Aug","14:55","CLL_GSE125881.pipeline.h5","COMPLETED"
"CLL_GSE132065",161,159,"T020095","Human","None",3,"47,695","10x Genomics","Primary","32393363","CD4Tconv, CD8T, Malignant, Mono/Macro, NK","CD4Tconv, CD8T, Malignant, Mono/Macro, NK",FALSE,347.1,NA,NA,"",NA,47695,"GSE132065","CLL",FALSE,"",NA,"7599432_159","array_7599432_159.out","CLL_GSE132065","38637","not_complete","array","ychen-sha+","ychen-rw",12,"FAILED","9:00","0:54:03",NA,NA,"24000M","54:00.1","136M","9-Aug","14:55","CLL_GSE132065.pipeline.h5","COMPLETED"
"CLL_GSE142744",102,102,"T020096","Human","None",2,"13,552","10x Genomics","Primary","None","B, CD4Tconv, CD8T, CD8Tex, Mast, Mono/Macro, NK","B, CD4Tn, CD8Teff, CD8Tex, M1, Mast, Monocyte, NK",FALSE,135.4,NA,NA,"",NA,13552,"GSE142744","CLL",FALSE,"",NA,"7592404_102","array_7592404_102.out","CLL_GSE142744","13550","23.8842948118846","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:23:57",NA,NA,"24000M","24:06.3","54M","6-Aug","15:51","CLL_GSE142744.pipeline.h5","COMPLETED"
"CLL_GSE152469",100,100,"T020019","Human","Targeted therapy",1,"13,017","CITE-seq","Relapsed","33298182","CD4Tconv, CD8T, Malignant, Mono/Macro, NK, Tprolif","CD4Tconv, CD8T, Malignant, Mono/Macro, NK, Tprolif",FALSE,97.2,NA,NA,"",NA,13017,"GSE152469","CLL",FALSE,"",NA,"7589715_100","array_7589715_100.out","CLL_GSE152469","13071","20.3915806174278","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:20:28",NA,NA,"24000M","20:31.3","39M","6-Aug","15:51","CLL_GSE152469.pipeline.h5","COMPLETED"
"CLL_GSE159417",35,35,"T020097","Human","None",2,"4,763","10x Genomics","Primary","34362918","B, CD4Tconv, CD8T, Malignant, Mono/Macro, Progenitor","B, CD4Tconv, CD8T, Malignant, Mono/Macro, Progenitor",FALSE,45.7,NA,NA,"",NA,4763,"GSE159417","CLL",FALSE,"",NA,"7588105_35","array_7588105_35.out","CLL_GSE159417","4763","13.7926081776619","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:13:51",NA,NA,"24000M","13:50.6","30M","6-Aug","15:51","CLL_GSE159417.pipeline.h5","COMPLETED"
"CRC_EMTAB8107",123,123,"T020098","Human","None",7,"23,176","10x Genomics","Primary","32561858","B, CD4Tconv, CD8Tex, Endothelial, Enteric glial, Epithelial, Fibroblasts, Malignant, Mast, Mono/Macro, Myofibroblasts, Plasma","B, CD4Tn, CD8Tex, Endothelial, Enteric glial, Epithelial, Fibroblasts, M1, Malignant, Mast, Monocyte, Myofibroblasts, Plasma",TRUE,512.5,NA,NA,"",NA,23176,"EMTAB8107","CRC",FALSE,"",NA,"7594515_123","array_7594515_123.out","CRC_EMTAB8107","34284","not_complete","array","ychen-sha+","ychen-rw",12,"FAILED","9:00","1:14:51",NA,NA,"24000M","1:14:51","208M","16-Aug","15:29","CRC_EMTAB8107.pipeline.h5","COMPLETED"
"CRC_GSE108989",84,84,"T010020","Human","None",12,"11,125","Smart-seq2","Primary","30479382","CD4Tconv, CD8T, CD8Tex, Tprolif, Treg","CD4Tn, CD8Tcm, CD8Teff, CD8Tex, Tfh, Th1, Th17, Tprolif, Treg",FALSE,312.4,NA,NA,"",NA,11125,"GSE108989","CRC",FALSE,"",NA,"7589709_84","array_7589709_84.out","CRC_GSE108989","11125","30.9977640430133","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:31:05",NA,NA,"24000M","31:14.2","155M","6-Aug","15:51","CRC_GSE108989.pipeline.h5","COMPLETED"
"CRC_GSE112865_mouse_aPD1",31,31,"T010021","Mouse","Immunotherapy",NA,"4,454","10x Genomics","Primary","30613266","CD4Tconv, CD8T, CD8Tex, DC, Mono/Macro, Neutrophils, NK, Tprolif","CD8Tex, CD8Tn, cDC1, M2, Monocyte, Neutrophils, NK, pDC, Th1, Tprolif",FALSE,51.7,NA,NA,"",NA,4454,"GSE112865","CRC",FALSE,"",NA,"7588105_31","array_7588105_31.out","CRC_GSE112865_mouse_aPD1","4454","12.4642169475555","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:12:32",NA,NA,"24000M","12:34.4","34M","6-Aug","15:51","CRC_GSE112865_mouse_aPD1.pipeline.h5","COMPLETED"
"CRC_GSE120909_mouse_aPD1",5,5,"T010022","Mouse","Immunotherapy",NA,"1,881","Smart-seq","Primary","30389797","CD8T, CD8Tex, DC, Mono/Macro, Neutrophils","CD8Tex, M2, Monocyte, Neutrophils, Others, pDC",FALSE,30.7,NA,NA,"",NA,1881,"GSE120909","CRC",FALSE,"",NA,"7587715_5","array_7587715_5.out","CRC_GSE120909_mouse_aPD1","1881","7.75131609837214","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:07:49",NA,NA,"24000M","07:48.6","22M","6-Aug","15:51","CRC_GSE120909_mouse_aPD1.pipeline.h5","COMPLETED"
"CRC_GSE122969_mouse_aPD1aTIM3",43,43,"T010023","Mouse","Immunotherapy",NA,"5,457","10x Genomics","Primary","30635236","CD8T, CD8Tex, DC, Fibroblasts, Mono/Macro, Tprolif","CD8Tcm, CD8Teff, CD8Tex, CD8Tn, Fibroblasts, M2, Others, pDC, Tprolif",FALSE,66.5,NA,NA,"",NA,5457,"GSE122969","CRC",FALSE,"",NA,"7588117_43","array_7588117_43.out","CRC_GSE122969_mouse_aPD1aTIM3","5457","14.9139390587807","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:14:59",NA,NA,"24000M","14:59.8","28M","6-Aug","15:51","CRC_GSE122969_mouse_aPD1aTIM3.pipeline.h5","COMPLETED"
"CRC_GSE136394",173,171,"T010024","Human","Immunotherapy",5,"67,171","10x Genomics","Primary, Metastatic","31484655","CD4Tconv, CD8T, Mono/Macro, Tprolif","CD8Tcm, CD8Teff, CD8Tem, CD8Tn, Monocyte, Th17, Tprolif",FALSE,1047,NA,NA,"",NA,67171,"GSE136394","CRC",FALSE,"",NA,"7599447_171","array_7599447_171.out","CRC_GSE136394","67171","not_complete","array","ychen-sha+","ychen-rw",12,"FAILED","9:00","1:28:32",NA,NA,"24000M","1:28:22","319M","14-Aug","18:07","CRC_GSE136394.pipeline.h5","COMPLETED"
"CRC_GSE139555",74,74,"T010025","Human","None",2,"10,112","10x Genomics","Primary","32103181","B, CD4Tconv, CD8T, CD8Tex, Mast, Mono/Macro, Myofibroblasts, NK, Plasma, Tprolif, Treg","B, CD4Tn, CD8Tcm, CD8Tex, Mast, Monocyte, Myofibroblasts, NK, Plasma, Th17, Tprolif, Treg",FALSE,104.4,NA,NA,"",NA,10112,"GSE139555","CRC",FALSE,"",NA,"7589699_74","array_7589699_74.out","CRC_GSE139555","10112","23.1087194085121","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:23:11",NA,NA,"24000M","23:12.2","49M","6-Aug","15:51","CRC_GSE139555.pipeline.h5","COMPLETED"
